"Município";"id_orgao";"Órgão";"Categoria da Receita";"Origem da Receita";"2012";"2013";"2014"
"Adamantina";"";"Prefeitura Municipal De Adamantina";"Receitas Correntes";"Receita Patrimonial";"704.047,18";"883.074,73";"1.166.095,24"
"Adamantina";"";"Prefeitura Municipal De Adamantina";"Receitas Correntes";"Receita de Serviços";"7.386.923,72";"7.543.826,67";"10.931.428,11"
"Adamantina";"";"Prefeitura Municipal De Adamantina";"Receitas Correntes";"Receita de Contribuições";"771.188,97";"748.678,32";"835.337,94"
"Adamantina";"";"Prefeitura Municipal De Adamantina";"Receitas Correntes";"Outras Receitas Correntes";"3.859.450,25";"3.501.830,60";"2.405.243,12"
"Adamantina";"";"Prefeitura Municipal De Adamantina";"Receitas Correntes";"Receita Agropecuária";"";"";"65,00"
"Adamantina";"";"Faculdades Adamantinenses Integradas";"Receitas de Capital";"Alienação de Bens";"9.436,00";"4.450,00";""
"Adamantina";"";"Faculdades Adamantinenses Integradas";"Receitas Correntes";"Transferências Correntes";"129.193,53";"54.413,54";"7.649,49"
"Adamantina";"";"Faculdades Adamantinenses Integradas";"Receitas Correntes";"Receita Tributária";"21.963,84";"23.953,08";"27.918,00"
"Adamantina";"";"Faculdades Adamantinenses Integradas";"Receitas Correntes";"Receita Patrimonial";"240.261,77";"328.048,10";"569.720,71"
"Adamantina";"";"Faculdades Adamantinenses Integradas";"Receitas Correntes";"Receita de Serviços";"18.097.540,27";"19.856.953,49";"22.887.362,38"
"Adamantina";"";"Faculdades Adamantinenses Integradas";"Receitas Correntes";"Receita de Contribuições";"743,12";"";""
"Adamantina";"";"Faculdades Adamantinenses Integradas";"Receitas Correntes";"Outras Receitas Correntes";"819.194,30";"1.341.652,96";"1.838.728,07"
"Adamantina";"";"Prefeitura Municipal De Adamantina";"Receitas Correntes";"Receita Tributária";"10.556.272,80";"12.164.917,61";"13.871.344,04"
"Adamantina";"";"Prefeitura Municipal De Adamantina";"Receitas de Capital";"Transferências de Capital";"4.576.261,27";"1.308.995,09";"2.427.977,20"
"Adamantina";"";"Prefeitura Municipal De Adamantina";"Receitas de Capital";"Alienação de Bens";"340.823,98";"17.750,00";""
"Adamantina";"";"Prefeitura Municipal De Adamantina";"Receitas Correntes";"Transferências Correntes";"40.056.459,54";"45.503.374,71";"47.917.554,25"
"Adamantina";"";"Prefeitura Municipal De Adamantina";"Receitas Correntes";"Receita Industrial";"147.761,83";"204.725,21";"183.847,57"
"Adolfo";"";"Prefeitura Municipal De Adolfo";"Receitas Correntes";"Receita de Serviços";"5.753,92";"52.728,88";"82.170,57"
"Adolfo";"";"Prefeitura Municipal De Adolfo";"Receitas de Capital";"Transferências de Capital";"3.069.946,60";"1.364.140,49";"1.484.752,47"
"Adolfo";"";"Prefeitura Municipal De Adolfo";"Receitas de Capital";"Alienação de Bens";"305.160,00";"27.350,00";"479.400,00"
"Adolfo";"";"Prefeitura Municipal De Adolfo";"Receitas Correntes";"Transferências Correntes";"12.699.345,25";"14.159.286,26";"15.098.888,33"
"Adolfo";"";"Prefeitura Municipal De Adolfo";"Receitas Correntes";"Receita Tributária";"565.833,34";"759.607,83";"913.902,70"
"Adolfo";"";"Prefeitura Municipal De Adolfo";"Receitas Correntes";"Receita Patrimonial";"57.331,75";"58.153,25";"111.578,68"
"Adolfo";"";"Prefeitura Municipal De Adolfo";"Receitas Correntes";"Outras Receitas Correntes";"204.011,85";"254.367,59";"548.177,25"
"Aguaí";"";"Prefeitura Municipal De Aguaí";"Receitas Correntes";"Transferências Correntes";"44.295.956,39";"50.930.101,75";"50.968.317,70"
"Aguaí";"";"Prefeitura Municipal De Aguaí";"Receitas de Capital";"Alienação de Bens";"";"";"128.333,66"
"Aguaí";"";"Prefeitura Municipal De Aguaí";"Receitas de Capital";"Transferências de Capital";"1.372.423,85";"154.094,66";"171.699,39"
"Aguaí";"";"Prefeitura Municipal De Aguaí";"Receitas Correntes";"Outras Receitas Correntes";"2.377.291,31";"1.680.962,09";"1.689.022,50"
"Aguaí";"";"Prefeitura Municipal De Aguaí";"Receitas Correntes";"Receita de Serviços";"1.937.540,90";"2.081.666,72";"1.939.148,43"
"Aguaí";"";"Prefeitura Municipal De Aguaí";"Receitas Correntes";"Receita Patrimonial";"334.716,65";"657.770,38";"916.754,04"
"Aguaí";"";"Prefeitura Municipal De Aguaí";"Receitas Correntes";"Receita Tributária";"6.371.775,74";"8.670.410,69";"10.998.621,59"
"Águas da Prata";"";"Prefeitura Municipal De Águas Da Prata";"Receitas Correntes";"Receita de Serviços";"160.862,40";"155.789,19";"149.573,16"
"Águas da Prata";"";"Prefeitura Municipal De Águas Da Prata";"Receitas Correntes";"Receita Tributária";"2.557.933,31";"2.895.041,58";"3.273.573,82"
"Águas da Prata";"";"Prefeitura Municipal De Águas Da Prata";"Receitas Correntes";"Receita Patrimonial";"338.154,49";"493.541,29";"678.056,28"
"Águas da Prata";"";"Prefeitura Municipal De Águas Da Prata";"Receitas Correntes";"Transferências Correntes";"13.763.606,25";"13.947.055,26";"13.072.724,02"
"Águas da Prata";"";"Prefeitura Municipal De Águas Da Prata";"Receitas de Capital";"Transferências de Capital";"2.997.926,37";"2.232.294,77";"2.637.176,09"
"Águas da Prata";"";"Fundo De Previdencia E Benef Serv Publ Ag.Prata";"Receitas Correntes";"Outras Receitas Correntes";"";"";"663,21"
"Águas da Prata";"";"Fundo De Previdencia E Benef Serv Publ Ag.Prata";"Receitas Correntes";"Receita de Contribuições";"2.010.321,54";"2.304.680,98";"2.496.967,66"
"Águas da Prata";"";"Fundo De Previdencia E Benef Serv Publ Ag.Prata";"Receitas Correntes";"Receita Patrimonial";"379.900,93";"";"279.069,55"
"Águas da Prata";"";"Prefeitura Municipal De Águas Da Prata";"Receitas Correntes";"Outras Receitas Correntes";"947.144,76";"637.075,01";"687.949,79"
"Águas de Lindóia";"";"Saae Saneamento Ambiental De Águas De Lindóia";"Receitas de Capital";"Transferências de Capital";"";"34.833,03";"38.049,58"
"Águas de Lindóia";"";"Saae Saneamento Ambiental De Águas De Lindóia";"Receitas Correntes";"Receita Patrimonial";"";"17.368,43";"36.066,93"
"Águas de Lindóia";"";"Saae Saneamento Ambiental De Águas De Lindóia";"Receitas Correntes";"Receita de Serviços";"5.381.999,60";"5.818.209,04";"6.146.862,34"
"Águas de Lindóia";"";"Saae Saneamento Ambiental De Águas De Lindóia";"Receitas Correntes";"Outras Receitas Correntes";"383.425,71";"672.939,33";"456.320,43"
"Águas de Lindóia";"";"Prefeitura Municipal De Águas De Lindóia";"Receitas de Capital";"Transferências de Capital";"4.614.886,02";"2.088.812,64";"5.146.892,84"
"Águas de Lindóia";"";"Prefeitura Municipal De Águas De Lindóia";"Receitas de Capital";"Alienação de Bens";"";"";"168.200,00"
"Águas de Lindóia";"";"Prefeitura Municipal De Águas De Lindóia";"Receitas Correntes";"Transferências Correntes";"27.015.981,08";"30.237.390,71";"32.269.720,84"
"Águas de Lindóia";"";"Prefeitura Municipal De Águas De Lindóia";"Receitas Correntes";"Receita Tributária";"15.225.710,86";"16.709.533,25";"18.209.383,66"
