"Município";"Código Município Ibge";"Exercício";"Receitas Resultantes de  Impostos Próprias";"Receitas Resultante de Impostos Transf. Estado";"Receitas Resultantes de Impostos Transf. União";"Receitas Resultantes  de Impostos Total"
"Adamantina";"3500105";"2014";"12.543.240,09";"20.485.100,92";"18.015.911,45";"51.044.252,46"
"Adamantina";"3500105";"2013";"11.147.138,63";"20.449.675,40";"16.729.192,93";"48.326.006,96"
"Adolfo";"3500204";"2014";"1.061.654,19";"6.889.424,16";"6.894.756,76";"14.845.835,11"
"Adolfo";"3500204";"2013";"948.907,66";"6.667.986,12";"6.279.702,92";"13.896.596,70"
"Aguaí";"3500303";"2014";"11.205.703,46";"19.445.837,52";"17.792.230,77";"48.443.771,75"
"Aguaí";"3500303";"2013";"9.161.738,56";"19.937.480,08";"16.605.475,50";"45.704.694,14"
"Águas da Prata";"3500402";"2014";"2.885.408,87";"4.964.816,16";"6.650.999,98";"14.501.225,01"
"Águas da Prata";"3500402";"2013";"2.598.601,90";"6.786.926,71";"6.217.663,23";"15.603.191,84"
"Águas de Lindóia";"3500501";"2014";"18.102.023,59";"8.192.034,95";"13.242.330,35";"39.536.388,89"
"Águas de Lindóia";"3500501";"2013";"16.602.956,18";"7.914.458,38";"12.364.735,92";"36.882.150,48"
"Águas de Santa Bárbara";"3500550";"2014";"7.449.272,99";"8.311.532,52";"6.582.023,45";"22.342.828,96"
"Águas de Santa Bárbara";"3500550";"2013";"6.863.734,23";"8.951.437,45";"6.317.500,10";"22.132.671,78"
"Águas de São Pedro";"3500600";"2014";"5.229.476,67";"2.740.940,29";"6.614.271,43";"14.584.688,39"
"Águas de São Pedro";"3500600";"2013";"4.830.350,81";"2.728.697,42";"6.172.947,55";"13.731.995,78"
"Agudos";"3500709";"2014";"7.803.840,16";"78.794.818,38";"18.770.226,56";"105.368.885,10"
"Agudos";"3500709";"2013";"6.974.849,01";"73.726.461,10";"17.283.609,53";"97.984.919,64"
"Alambari";"3500758";"2014";"4.291.475,16";"3.640.561,34";"6.652.097,22";"14.584.133,72"
"Alambari";"3500758";"2013";"2.952.099,11";"3.586.455,42";"6.196.141,28";"12.734.695,81"
"Alfredo Marcondes";"3500808";"2014";"567.828,98";"3.271.928,41";"6.630.535,00";"10.470.292,39"
"Alfredo Marcondes";"3500808";"2013";"512.472,26";"3.200.258,29";"6.186.246,92";"9.898.977,47"
"Altair";"3500907";"2014";"491.220,67";"6.772.261,12";"7.202.335,33";"14.465.817,12"
"Altair";"3500907";"2013";"423.698,39";"7.007.915,66";"6.785.507,46";"14.217.121,51"
"Altinópolis";"3501004";"2014";"4.731.264,41";"16.684.463,59";"11.643.066,11";"33.058.794,11"
"Altinópolis";"3501004";"2013";"4.510.374,68";"17.165.086,02";"10.863.377,44";"32.538.838,14"
"Alto Alegre";"3501103";"2014";"800.594,50";"5.404.495,23";"6.743.662,34";"12.948.752,07"
"Alto Alegre";"3501103";"2013";"741.813,12";"5.232.074,78";"6.268.438,79";"12.242.326,69"
"Alumínio";"3501152";"2014";"8.371.488,61";"10.252.717,51";"13.257.434,57";"31.881.640,69"
"Alumínio";"3501152";"2013";"5.072.128,56";"17.838.925,07";"12.411.911,67";"35.322.965,30"
"Álvares Florence";"3501202";"2014";"853.251,76";"5.335.989,42";"6.802.422,72";"12.991.663,90"
"Álvares Florence";"3501202";"2013";"796.576,88";"5.142.449,97";"6.334.493,57";"12.273.520,42"
"Álvares Machado";"3501301";"2014";"4.901.492,22";"10.953.347,26";"15.523.384,28";"31.378.223,76"
"Álvares Machado";"3501301";"2013";"4.057.548,67";"10.816.224,89";"12.426.683,75";"27.300.457,31"
"Álvaro de Carvalho";"3501400";"2014";"577.851,16";"2.849.070,37";"6.381.287,33";"9.808.208,86"
"Álvaro de Carvalho";"3501400";"2013";"398.726,98";"2.853.929,17";"5.952.391,55";"9.205.047,70"
"Alvinlândia";"3501509";"2014";"368.947,95";"2.318.117,10";"6.662.260,37";"9.349.325,42"
"Alvinlândia";"3501509";"2013";"404.347,17";"2.323.726,41";"6.203.176,74";"8.931.250,32"
"Americana";"3501608";"2014";"147.155.888,72";"202.922.777,12";"55.665.686,26";"405.744.352,10"
"Americana";"3501608";"2013";"144.275.518,51";"203.444.569,24";"52.192.145,86";"399.912.233,61"
"Américo Brasiliense";"3501707";"2014";"6.160.927,96";"18.345.468,10";"17.985.822,23";"42.492.218,29"
"Américo Brasiliense";"3501707";"2013";"6.256.297,36";"19.247.084,12";"16.711.030,86";"42.214.412,34"
"Américo de Campos";"3501806";"2014";"973.240,52";"5.369.588,45";"6.712.773,35";"13.055.602,32"
"Américo de Campos";"3501806";"2013";"1.016.976,94";"5.712.249,07";"6.253.994,93";"12.983.220,94"
"Amparo";"3501905";"2014";"39.666.085,87";"74.952.489,95";"26.815.426,95";"141.434.002,77"
"Amparo";"3501905";"2013";"33.718.130,02";"72.781.710,17";"25.044.523,84";"131.544.364,03"
"Analândia";"3502002";"2014";"2.657.413,10";"8.221.301,23";"6.875.718,04";"17.754.432,37"
"Analândia";"3502002";"2013";"2.310.909,04";"8.461.928,46";"6.278.914,55";"17.051.752,05"
"Andradina";"3502101";"2014";"19.234.447,99";"43.977.981,32";"25.238.560,38";"88.450.989,69"
"Andradina";"3502101";"2013";"19.613.707,98";"42.433.109,53";"23.441.426,83";"85.488.244,34"
"Angatuba";"3502200";"2014";"4.271.021,77";"23.154.262,23";"14.393.652,29";"41.818.936,29"
"Angatuba";"3502200";"2013";"4.019.713,47";"22.662.951,64";"12.939.834,14";"39.622.499,25"
"Anhembi";"3502309";"2014";"2.693.835,89";"9.896.233,43";"6.628.340,80";"19.218.410,12"
"Anhembi";"3502309";"2013";"2.870.382,57";"9.807.129,18";"6.419.738,26";"19.097.250,01"
"Anhumas";"3502408";"2014";"561.723,74";"4.422.156,48";"6.776.311,86";"11.760.192,08"
"Anhumas";"3502408";"2013";"437.918,93";"4.548.329,40";"6.292.048,29";"11.278.296,62"
"Aparecida";"3502507";"2014";"16.744.356,63";"17.137.835,02";"17.683.377,67";"51.565.569,32"
"Aparecida";"3502507";"2013";"16.246.240,11";"16.852.297,24";"16.503.154,30";"49.601.691,65"
"Aparecida d'Oeste";"3502606";"2014";"470.021,31";"3.642.809,71";"6.807.652,29";"10.920.483,31"
"Aparecida d'Oeste";"3502606";"2013";"383.083,01";"3.502.942,98";"6.185.568,30";"10.071.594,29"
"Apiaí";"3502705";"2014";"3.081.009,29";"15.547.527,34";"15.595.527,62";"34.224.064,25"
"Apiaí";"3502705";"2013";"4.968.652,97";"14.916.911,03";"13.942.734,28";"33.828.298,28"
"Araçariguama";"3502754";"2014";"16.216.576,77";"32.589.340,19";"13.377.417,11";"62.183.334,07"
"Araçariguama";"3502754";"2013";"13.688.735,85";"34.560.823,95";"12.501.079,58";"60.750.639,38"
"Araçatuba";"3502804";"2014";"96.796.734,38";"143.776.286,56";"55.909.520,04";"296.482.540,98"
"Araçatuba";"3502804";"2013";"90.976.179,42";"130.754.695,87";"52.697.202,85";"274.428.078,14"
"Araçoiaba da Serra";"3502903";"2014";"16.214.953,60";"14.396.564,46";"15.548.172,97";"46.159.691,03"
"Araçoiaba da Serra";"3502903";"2013";"15.516.936,07";"11.939.675,73";"14.510.990,39";"41.967.602,19"
"Aramina";"3503000";"2014";"2.908.104,67";"5.457.134,33";"6.710.933,50";"15.076.172,50"
"Aramina";"3503000";"2013";"2.548.546,54";"5.992.870,46";"6.265.618,39";"14.807.035,39"
"Arandu";"3503109";"2014";"2.432.372,65";"6.550.584,37";"6.447.812,02";"15.430.769,04"
"Arandu";"3503109";"2013";"1.920.864,26";"6.626.093,47";"6.262.965,06";"14.809.922,79"
"Arapeí";"3503158";"2014";"309.753,68";"2.126.722,34";"6.619.512,85";"9.055.988,87"
"Arapeí";"3503158";"2013";"371.180,74";"2.145.547,56";"6.178.457,41";"8.695.185,71"
"Araraquara";"3503208";"2014";"131.382.756,90";"176.282.088,53";"58.607.580,86";"366.272.426,29"
"Araraquara";"3503208";"2013";"121.527.237,32";"171.486.147,98";"54.471.479,42";"347.484.864,72"
"Araras";"3503307";"2014";"73.644.293,85";"100.873.957,89";"39.555.357,47";"214.073.609,21"
"Araras";"3503307";"2013";"62.954.980,29";"101.411.923,79";"37.439.941,14";"201.806.845,22"
"Arco-Íris";"3503356";"2014";"181.645,05";"3.617.685,91";"6.689.619,02";"10.488.949,98"
"Arco-Íris";"3503356";"2013";"149.334,47";"3.558.698,47";"6.235.465,70";"9.943.498,64"
"Arealva";"3503406";"2014";"1.876.429,47";"7.771.719,34";"6.799.525,58";"16.447.674,39"
"Arealva";"3503406";"2013";"2.628.235,60";"7.624.765,33";"6.336.748,90";"16.589.749,83"
"Areias";"3503505";"2014";"366.684,50";"3.023.315,46";"6.636.557,18";"10.026.557,14"
"Areias";"3503505";"2013";"382.784,49";"3.051.315,94";"6.187.828,65";"9.621.929,08"
"Areiópolis";"3503604";"2014";"1.390.592,07";"5.077.383,61";"8.590.331,40";"15.058.307,08"
"Areiópolis";"3503604";"2013";"1.288.589,80";"4.837.973,96";"7.925.726,34";"14.052.290,10"
"Ariranha";"3503703";"2014";"1.765.885,49";"20.630.409,98";"6.808.943,86";"29.205.239,33"
"Ariranha";"3503703";"2013";"2.388.414,53";"26.263.274,68";"6.408.757,77";"35.060.446,98"
"Artur Nogueira";"3503802";"2014";"15.601.855,80";"25.174.557,79";"22.149.519,64";"62.925.933,23"
"Artur Nogueira";"3503802";"2013";"15.410.811,27";"23.280.730,76";"20.701.110,02";"59.392.652,05"
